"","Dataset","L0Reg.framework","GENIE3"
"1","Net1",0.842031329737696,0.787485897049863
"2","Net2",0.833439424785999,0.805234125502875
"3","Net3",0.852379003149093,0.810459956036677
"4","Net4",0.870193952005827,0.802518424749307
"5","Net5",0.831603110974059,0.796104850813768
"6","Net6",0.839550052023867,0.794533615362314
"7","Net7",0.844970634006152,0.79811608027848
"8","Net8",0.831650596666724,0.783809662917705
"9","Net9",0.852211300512929,0.806872081358004
"10","Net10",0.85720571343048,0.798124495464501
